,书籍名称,价格,出版社,评论数,商品链接,图片链接
0, Python编程 从入门到实践,62.00,人民邮电出版社,81382,http://product.dangdang.com/24003310.html,http://img3m0.ddimg.cn/67/4/24003310-1_b_7.jpg
1, Python学习手册（原书第5版）,162.40,机械工业出版社,1032,http://product.dangdang.com/25576578.html,images/model/guan/url_none.png
2, Python编程快速上手 让繁琐工作自动化（Python3编程从入门到实践 新手学习必备用书）,50.00,人民邮电出版社,18796,http://product.dangdang.com/23997502.html,images/model/guan/url_none.png
3, 利用Python进行数据分析（原书第2版）,91.30,机械工业出版社,7025,http://product.dangdang.com/25312917.html,images/model/guan/url_none.png
4, Python核心编程 第3版,71.80,人民邮电出版社,20384,http://product.dangdang.com/23961748.html,images/model/guan/url_none.png
5, 疯狂Python讲义,105.00,电子工业出版社,1023,http://product.dangdang.com/25580336.html,images/model/guan/url_none.png
6, Python从小白到大牛,65.30,清华大学出版社,1137,http://product.dangdang.com/25574315.html,images/model/guan/url_none.png
7, Python从菜鸟到高手,93.80,清华大学出版社,2803,http://product.dangdang.com/25333314.html,images/model/guan/url_none.png
8, Python Cookbook（第3版）中文版,78.30,人民邮电出版社,6154,http://product.dangdang.com/23690527.html,images/model/guan/url_none.png
9, Python基础教程（第3版）,78.20,人民邮电出版社,12769,http://product.dangdang.com/25218035.html,images/model/guan/url_none.png
10, Python 3网络爬虫开发实战,78.20,人民邮电出版社,8567,http://product.dangdang.com/25249602.html,images/model/guan/url_none.png
11, Python 3标准库,147.60,机械工业出版社,630,http://product.dangdang.com/25534855.html,images/model/guan/url_none.png
12, Python神经网络编程,50.00,人民邮电出版社,6640,http://product.dangdang.com/25251315.html,images/model/guan/url_none.png
13, 笨办法学Python 3,42.80,人民邮电出版社,8535,http://product.dangdang.com/25286312.html,images/model/guan/url_none.png
14, 物联网应用设计与实战：基于AVR单片机和Python,46.60,机械工业出版社,38,http://product.dangdang.com/26440992.html,images/model/guan/url_none.png
15, Python数据分析与挖掘实战,51.20,机械工业出版社,6942,http://product.dangdang.com/23818948.html,images/model/guan/url_none.png
16, Python量化交易,78.40,电子工业出版社,0,http://product.dangdang.com/27870346.html,images/model/guan/url_none.png
17, Python从入门到精通,58.50,清华大学出版社,353,http://product.dangdang.com/25535707.html,images/model/guan/url_none.png
18, Python编程（第四版）,132.00,中国电力出版社,7425,http://product.dangdang.com/23617284.html,images/model/guan/url_none.png
19, Python金融大数据分析,71.80,人民邮电出版社,5634,http://product.dangdang.com/23814720.html,images/model/guan/url_none.png
20, 实战Python网络爬虫,72.60,清华大学出版社,1,http://product.dangdang.com/27872249.html,images/model/guan/url_none.png
21, 零基础入门学习Python（第2版）-微课视频版,61.40,清华大学出版社,11,http://product.dangdang.com/27865271.html,images/model/guan/url_none.png
22, 深入理解Python特性,33.80,人民邮电出版社,0,http://product.dangdang.com/27882547.html,images/model/guan/url_none.png
23, 对比Excel，轻松学习Python数据分析,52.50,电子工业出版社,3737,http://product.dangdang.com/26512595.html,images/model/guan/url_none.png
24, Python编程从入门到精通 项目开发视频学习版,57.30,人民邮电出版社,1371,http://product.dangdang.com/25536364.html,images/model/guan/url_none.png
25, 精通Python爬虫框架Scrapy,42.80,人民邮电出版社,4915,http://product.dangdang.com/25227022.html,images/model/guan/url_none.png
26, Python深度学习,94.00,人民邮电出版社,3435,http://product.dangdang.com/25324199.html,images/model/guan/url_none.png
27, Python编程从零基础到项目实战（微课视频版）,61.30,水利水电出版社,1931,http://product.dangdang.com/25479735.html,images/model/guan/url_none.png
28, Python科学计算(第2版),93.20,清华大学出版社,1948,http://product.dangdang.com/23957701.html,images/model/guan/url_none.png
29, Python自然语言处理,64.50,人民邮电出版社,4397,http://product.dangdang.com/23503127.html,images/model/guan/url_none.png
30, Python算法详解,54.50,人民邮电出版社,1,http://product.dangdang.com/27880576.html,images/model/guan/url_none.png
31, 教孩子学编程 Python语言版,42.80,人民邮电出版社,10481,http://product.dangdang.com/23928893.html,images/model/guan/url_none.png
32, Python 3 面向对象编程（第2版）,88.10,电子工业出版社,458,http://product.dangdang.com/25301983.html,images/model/guan/url_none.png
33, 流畅的Python,109.80,人民邮电出版社,3861,http://product.dangdang.com/25071121.html,images/model/guan/url_none.png
34, Python项目案例开发从入门到实战――爬虫、游戏和机器学习,58.50,清华大学出版社,338,http://product.dangdang.com/26436548.html,images/model/guan/url_none.png
35, 零基础轻松学Python,46.60,电子工业出版社,3,http://product.dangdang.com/27876895.html,images/model/guan/url_none.png
36, Python自动化测试实战,55.30,电子工业出版社,30,http://product.dangdang.com/27856966.html,images/model/guan/url_none.png
37, Python编程无师自通 专业程序员的养成,42.80,人民邮电出版社,754,http://product.dangdang.com/26440157.html,images/model/guan/url_none.png
38, Python人脸识别：从入门到工程实践,54.50,机械工业出版社,15,http://product.dangdang.com/27859582.html,images/model/guan/url_none.png
39, Python数据可视化之matplotlib精进,61.40,电子工业出版社,1,http://product.dangdang.com/27862869.html,images/model/guan/url_none.png
40, Python自然语言处理实战：核心技术与算法,51.20,机械工业出版社,949,http://product.dangdang.com/25286117.html,images/model/guan/url_none.png
41, Python 3破冰人工智能 从入门到实战,42.80,人民邮电出版社,57,http://product.dangdang.com/27852496.html,images/model/guan/url_none.png
42, Python 3.7从零开始学,62.40,清华大学出版社,386,http://product.dangdang.com/25351140.html,images/model/guan/url_none.png
43, Python自动化开发实战,54.50,清华大学出版社,1,http://product.dangdang.com/27866832.html,images/model/guan/url_none.png
44, Python大规模机器学习,70.30,机械工业出版社,1,http://product.dangdang.com/27867226.html,images/model/guan/url_none.png
45, Python高效开发实战――Django、Tornado、Flask、Twisted（第2版）,78.40,电子工业出版社,208,http://product.dangdang.com/26438448.html,images/model/guan/url_none.png
46, 码农翻身（好玩有趣的编程知识）,61.40,电子工业出版社,14459,http://product.dangdang.com/25276414.html,images/model/guan/url_none.png
47, Python 3爬虫、数据清洗与可视化实战,38.80,电子工业出版社,1145,http://product.dangdang.com/25253348.html,images/model/guan/url_none.png
48, Python编程之美：最佳实践指南,79.20,电子工业出版社,576,http://product.dangdang.com/25336768.html,images/model/guan/url_none.png
49, Python统计分析,57.30,人民邮电出版社,436,http://product.dangdang.com/26184453.html,images/model/guan/url_none.png
50, Python深度学习实战：基于TensorFlow和Keras的聊天机器人以及人脸、物体和语音识别,54.50,机械工业出版社,18,http://product.dangdang.com/27857147.html,images/model/guan/url_none.png
51, Python微服务开发,46.60,清华大学出版社,24,http://product.dangdang.com/27852643.html,images/model/guan/url_none.png
52, Python游戏编程入门,35.50,人民邮电出版社,1981,http://product.dangdang.com/23628345.html,images/model/guan/url_none.png
53, Python机器学习――数据分析与评分卡建模（微课版）,33.80,清华大学出版社,9,http://product.dangdang.com/27862921.html,images/model/guan/url_none.png
54, Python算法教程,50.00,人民邮电出版社,4310,http://product.dangdang.com/23834026.html,images/model/guan/url_none.png
55, Python数据分析与数据化运营,78.20,机械工业出版社,864,http://product.dangdang.com/25200787.html,images/model/guan/url_none.png
56, Python 黑帽子：黑客与渗透测试编程之道,49.00,电子工业出版社,3542,http://product.dangdang.com/23754436.html,images/model/guan/url_none.png
57, 大话Python机器学习,70.90,水利水电出版社,51,http://product.dangdang.com/27874150.html,images/model/guan/url_none.png
58, Python程序设计与问题求解（原书第2版）,84.10,机械工业出版社,0,http://product.dangdang.com/27879589.html,images/model/guan/url_none.png
59, Python数据可视化之matplotlib实践,46.80,电子工业出版社,455,http://product.dangdang.com/25339676.html,images/model/guan/url_none.png
60, Python核心编程（第二版）(Python领域经典作品、非常有名的开发指南),64.50,人民邮电出版社,14521,http://product.dangdang.com/20255354.html,http://img3m4.ddimg.cn/53/0/20255354-1_b_1.jpg
61, Python语言程序设计基础（第2版）,39.00,高等教育出版社,1094,http://product.dangdang.com/24189864.html,images/model/guan/url_none.png
62, 基于Python的大数据分析基础及实战,51.20,水利水电出版社,2582,http://product.dangdang.com/25307829.html,images/model/guan/url_none.png
63, Python金融衍生品大数据分析：建模、模拟、校准与对冲,88.10,电子工业出版社,1456,http://product.dangdang.com/25107163.html,images/model/guan/url_none.png
64, Python机器学习基础教程,62.40,人民邮电出版社,2753,http://product.dangdang.com/25232007.html,images/model/guan/url_none.png
65, Python王者归来,101.10,清华大学出版社,20,http://product.dangdang.com/27856608.html,images/model/guan/url_none.png
66, Python机器学习实践指南,50.00,人民邮电出版社,6376,http://product.dangdang.com/25066760.html,images/model/guan/url_none.png
67, Python 新手学Django 2.0架站的16堂课（第2版）,68.30,清华大学出版社,24,http://product.dangdang.com/27851580.html,images/model/guan/url_none.png
68, Python数据挖掘与机器学习实战,54.50,机械工业出版社,0,http://product.dangdang.com/27875848.html,images/model/guan/url_none.png
69, Python量化交易实战,62.40,清华大学出版社,107,http://product.dangdang.com/26485746.html,images/model/guan/url_none.png
70, Python绝技：运用Python成为顶级黑客,70.30,电子工业出版社,4573,http://product.dangdang.com/23839735.html,images/model/guan/url_none.png
71, Python与机器学习实战：决策树、集成学习、支持向量机与神经网络算法详解及编程实现,54.70,电子工业出版社,2622,http://product.dangdang.com/25107201.html,images/model/guan/url_none.png
72, 深入浅出Python机器学习,50.60,清华大学出版社,1244,http://product.dangdang.com/25314043.html,images/model/guan/url_none.png
73, Python网络爬虫权威指南 第2版,54.50,人民邮电出版社,24,http://product.dangdang.com/27857494.html,images/model/guan/url_none.png
74, 小天才学Python,26.40,清华大学出版社,113,http://product.dangdang.com/26918604.html,images/model/guan/url_none.png
75, Python数据科学手册,86.10,人民邮电出版社,1824,http://product.dangdang.com/25228733.html,images/model/guan/url_none.png
76, 零基础入门学习Python,39.10,清华大学出版社,2971,http://product.dangdang.com/24104299.html,images/model/guan/url_none.png
77, 你也能看得懂的Python算法书,46.80,电子工业出版社,2530,http://product.dangdang.com/25579993.html,images/model/guan/url_none.png
78, 用Python写网络爬虫 第2版,35.50,人民邮电出版社,1811,http://product.dangdang.com/25303745.html,images/model/guan/url_none.png
79, python在机器学习中的应用,63.00,水利水电出版社,0,http://product.dangdang.com/27874149.html,images/model/guan/url_none.png
80, Python游戏编程快速上手 第4版,50.00,人民邮电出版社,875,http://product.dangdang.com/25173882.html,images/model/guan/url_none.png
81, Python高性能编程,54.50,人民邮电出版社,1162,http://product.dangdang.com/25098886.html,images/model/guan/url_none.png
82, Python机器学习（原书第2版）,73.80,机械工业出版社,189,http://product.dangdang.com/25859443.html,images/model/guan/url_none.png
83, Python与量化投资：从基础到实战,78.40,电子工业出版社,1141,http://product.dangdang.com/25248716.html,images/model/guan/url_none.png
84, Python网络爬虫技术,27.40,人民邮电出版社,17,http://product.dangdang.com/27851752.html,images/model/guan/url_none.png
85, Python数据分析实战,30.80,清华大学出版社,83,http://product.dangdang.com/26488845.html,images/model/guan/url_none.png
86, 小小的Python编程故事,54.70,电子工业出版社,2562,http://product.dangdang.com/26475567.html,images/model/guan/url_none.png
87, Python Linux系统管理与自动化运维,70.30,机械工业出版社,679,http://product.dangdang.com/25164632.html,images/model/guan/url_none.png
88, Python编程导论 第2版,54.50,人民邮电出版社,866,http://product.dangdang.com/25249180.html,images/model/guan/url_none.png
89, Python接口自动化测试,52.50,电子工业出版社,0,http://product.dangdang.com/27873146.html,images/model/guan/url_none.png
90, Python数据可视化编程实战 第2版,50.00,人民邮电出版社,423,http://product.dangdang.com/25339887.html,images/model/guan/url_none.png
91, Python 网络爬虫从入门到精通,62.40,机械工业出版社,1,http://product.dangdang.com/27873714.html,images/model/guan/url_none.png
92, 深度学习入门 基于Python的理论与实现,46.60,人民邮电出版社,3551,http://product.dangdang.com/25307675.html,images/model/guan/url_none.png
93, Python自动化运维快速入门,46.60,清华大学出版社,17,http://product.dangdang.com/27304507.html,images/model/guan/url_none.png
94, 趣学Python――教孩子学编程,42.80,中国电力出版社,2121,http://product.dangdang.com/23648843.html,images/model/guan/url_none.png
95, Python袖珍指南（第五版）,26.20,人民邮电出版社,957,http://product.dangdang.com/23617285.html,images/model/guan/url_none.png
96, Python机器学习 预测分析核心算法,54.50,西南交通大学出版社,3116,http://product.dangdang.com/24159761.html,images/model/guan/url_none.png
97, Python入门与实战,19.30,清华大学出版社,0,http://product.dangdang.com/27853902.html,images/model/guan/url_none.png
98, Python渗透测试编程技术：方法与实践,54.50,人民邮电出版社,147,http://product.dangdang.com/26482920.html,images/model/guan/url_none.png
99, Python数据分析 第2版,54.50,机械工业出版社,1079,http://product.dangdang.com/25278605.html,images/model/guan/url_none.png
100, Python程序设计（原书第2版）,101.10,人民邮电出版社,54,http://product.dangdang.com/25582466.html,images/model/guan/url_none.png
101, 我的Python世界 玩《Minecraft我的世界》学Python编程,50.00,中国电力出版社,351,http://product.dangdang.com/25305843.html,images/model/guan/url_none.png
102, Head First Python(第二版),85.30,人民邮电出版社,2686,http://product.dangdang.com/25216230.html,images/model/guan/url_none.png
103, Python高级编程 第2版,61.40,清华大学出版社,1327,http://product.dangdang.com/25163810.html,images/model/guan/url_none.png
104, 从零开始学Python数据分析与挖掘,62.40,人民邮电出版社,249,http://product.dangdang.com/25535018.html,images/model/guan/url_none.png
105, Python设计模式 第2版,30.80,北京大学出版社,544,http://product.dangdang.com/25113288.html,images/model/guan/url_none.png
106, Python 3.x全栈开发从入门到精通,68.30,清华大学出版社,2,http://product.dangdang.com/27866441.html,images/model/guan/url_none.png
107, Python 3.6零基础入门与实战,46.60,清华大学出版社,83,http://product.dangdang.com/25342576.html,images/model/guan/url_none.png
108, Python程序设计案例教程――从入门到机器学习（微课版）,46.60,清华大学出版社,84,http://product.dangdang.com/25344268.html,images/model/guan/url_none.png
109, Python机器学习 5个数据科学家案例解析,39.30,机械工业出版社,169,http://product.dangdang.com/25535015.html,images/model/guan/url_none.png
110, Python深度学习：基于TensorFlow,58.60,机械工业出版社,618,http://product.dangdang.com/25479613.html,images/model/guan/url_none.png
111, Python高级数据分析：机器学习、深度学习和NLP实例,46.60,人民邮电出版社,51,http://product.dangdang.com/26509514.html,images/model/guan/url_none.png
112, Python地理空间分析指南（第2版）,62.40,人民邮电出版社,918,http://product.dangdang.com/24242810.html,images/model/guan/url_none.png
113, 青少年Python编程入门,31.00,人民邮电出版社,0,http://product.dangdang.com/27869934.html,images/model/guan/url_none.png
114, Python极客项目编程,54.50,电子工业出版社,768,http://product.dangdang.com/25060153.html,images/model/guan/url_none.png
115, 物联网Python开发实战,61.40,清华大学出版社,387,http://product.dangdang.com/25244043.html,images/model/guan/url_none.png
116, Python网络爬虫实战,63.00,清华大学出版社,4,http://product.dangdang.com/27862922.html,images/model/guan/url_none.png
117, Python微控制器编程从零开始 使用MicroPython,39.30,人民邮电出版社,175,http://product.dangdang.com/25330163.html,images/model/guan/url_none.png
118, Python参考手册 第4版 修订版,70.30,电子工业出版社,1362,http://product.dangdang.com/24047813.html,images/model/guan/url_none.png
119, Python带我起飞――入门、进阶、商业实战（python入门级，小白快速上手）,70.30,电子工业出版社,609,http://product.dangdang.com/25296509.html,images/model/guan/url_none.png
120, Python数据分析从入门到精通,61.40,水利水电出版社,1173,http://product.dangdang.com/25240877.html,http://img3m7.ddimg.cn/35/32/25240877-1_b_2.jpg
121, Python程序员面试宝典,68.80,机械工业出版社,113,http://product.dangdang.com/27852134.html,images/model/guan/url_none.png
122, Python程序员面试算法宝典,48.30,机械工业出版社,513,http://product.dangdang.com/25351230.html,images/model/guan/url_none.png
123, Python学习手册：第4版（涵盖Python2.6和3.X）,94.00,人民邮电出版社,7242,http://product.dangdang.com/21063086.html,images/model/guan/url_none.png
124, Python地理数据处理,62.40,北京大学出版社,526,http://product.dangdang.com/25097337.html,images/model/guan/url_none.png
125, Python 3 数据分析与机器学习实战,53.40,清华大学出版社,669,http://product.dangdang.com/25325809.html,images/model/guan/url_none.png
126, Python Web自动化测试设计与实现,62.40,人民邮电出版社,72,http://product.dangdang.com/26917182.html,images/model/guan/url_none.png
127, Python机器学习,62.40,人民邮电出版社,140,http://product.dangdang.com/26514294.html,images/model/guan/url_none.png
128, 父与子的编程之旅：与小卡特一起学Python,54.50,人民邮电出版社,5113,http://product.dangdang.com/23598327.html,images/model/guan/url_none.png
129, Python计算机视觉编程【陈熙霖作序推荐！ Amazon.com计算机视觉类图书卖的很好的作品！】,54.50,电子工业出版社,1833,http://product.dangdang.com/23492776.html,images/model/guan/url_none.png
130, Python Web开发实战,93.50,人民邮电出版社,1107,http://product.dangdang.com/24029839.html,images/model/guan/url_none.png
131, Python经典实例,109.80,人民邮电出版社,40,http://product.dangdang.com/26913257.html,images/model/guan/url_none.png
132, Python数据分析基础,54.50,机械工业出版社,1375,http://product.dangdang.com/25139426.html,images/model/guan/url_none.png
133, 精通Python网络爬虫：核心技术、框架与项目实战,54.50,人民邮电出版社,1374,http://product.dangdang.com/24227543.html,images/model/guan/url_none.png
134, Python和NLTK自然语言处理,109.00,人民邮电出版社,25,http://product.dangdang.com/26919645.html,images/model/guan/url_none.png
135, Python程序设计 第3版,47.60,机械工业出版社,1851,http://product.dangdang.com/25218232.html,images/model/guan/url_none.png
136, 数据结构与算法：Python语言实现,92.60,电子工业出版社,470,http://product.dangdang.com/25340656.html,images/model/guan/url_none.png
137, Python编程基础与HTTP接口测试,31.00,清华大学出版社,328,http://product.dangdang.com/25210301.html,images/model/guan/url_none.png
138, Python设计模式,77.40,电子工业出版社,76,http://product.dangdang.com/26315940.html,images/model/guan/url_none.png
139, Python 3学习笔记（上卷）,79.20,电子工业出版社,1634,http://product.dangdang.com/25218055.html,images/model/guan/url_none.png
140, Python数据分析入门――从数据获取到可视化,52.50,清华大学出版社,635,http://product.dangdang.com/25247679.html,images/model/guan/url_none.png
141, Python机器学习及实践---- 从零开始通往Kaggle竞赛之路,38.70,机械工业出版社,1043,http://product.dangdang.com/24043260.html,images/model/guan/url_none.png
142, 实用卷积神经网络:运用Python实现高级深度学习模型,54.50,人民邮电出版社,7,http://product.dangdang.com/27850574.html,images/model/guan/url_none.png
143, Python测试之道,47.20,人民邮电出版社,912,http://product.dangdang.com/25293877.html,images/model/guan/url_none.png
144, Python网络编程 第3版,62.40,机械工业出版社,701,http://product.dangdang.com/24034842.html,images/model/guan/url_none.png
145, Python网络爬虫从入门到实践,33.20,清华大学出版社,1719,http://product.dangdang.com/25162123.html,images/model/guan/url_none.png
146, Python 3.7编程快速入门,46.60,电子工业出版社,36,http://product.dangdang.com/26488843.html,images/model/guan/url_none.png
147, 量化投资：以Python为工具,87.40,人民邮电出版社,2936,http://product.dangdang.com/24169768.html,images/model/guan/url_none.png
148, Python数据分析与应用,34.30,人民邮电出版社,493,http://product.dangdang.com/25249785.html,images/model/guan/url_none.png
149, 编程的乐趣 用Python解算法谜题,46.60,人民邮电出版社,1,http://product.dangdang.com/27872613.html,images/model/guan/url_none.png
150, Python爬虫开发 从入门到实战（微课版）,34.30,人民邮电出版社,349,http://product.dangdang.com/25349717.html,images/model/guan/url_none.png
151, Python深度学习,46.60,清华大学出版社,761,http://product.dangdang.com/25286949.html,images/model/guan/url_none.png
152, Python 3.6从入门到精通（视频教学版）,75.60,人民邮电出版社,16,http://product.dangdang.com/25572687.html,images/model/guan/url_none.png
153, 趣学Python编程,32.70,中国铁道出版社,1835,http://product.dangdang.com/23426467.html,images/model/guan/url_none.png
154, Python量化交易实战入门与技巧,61.40,机械工业出版社,266,http://product.dangdang.com/25343972.html,images/model/guan/url_none.png
155, Python自动化运维：技术与最佳实践,54.50,清华大学出版社,2549,http://product.dangdang.com/23593858.html,images/model/guan/url_none.png
156, Python可以这样学,47.60,人民邮电出版社,680,http://product.dangdang.com/24180463.html,images/model/guan/url_none.png
157, 数据结构 Python语言描述,50.00,清华大学出版社,4012,http://product.dangdang.com/25195904.html,images/model/guan/url_none.png
158, Python网络编程(Linux),33.10,机械工业出版社,110,http://product.dangdang.com/25340081.html,images/model/guan/url_none.png
159, Python语言程序设计(Daniel Liang[梁勇]博士系列丛书之一，以实例教，由实践学，采用基础先行、问题驱动,54.50,电子工业出版社,731,http://product.dangdang.com/23689934.html,images/model/guan/url_none.png
160, Python大战机器学习：数据科学家的第一个小目标,61.40,机械工业出版社,2188,http://product.dangdang.com/24195827.html,images/model/guan/url_none.png
161, 零基础学Python(300个实例、64个练习题，超值大容量DVD包含教学视频、源代码、PPT),62.40,机械工业出版社,1090,http://product.dangdang.com/23663228.html,images/model/guan/url_none.png
162, Python数据科学：技术详解与商业实践,78.20,人民邮电出版社,213,http://product.dangdang.com/25310840.html,images/model/guan/url_none.png
163, 青少年学Python,57.30,人民邮电出版社,444,http://product.dangdang.com/25297440.html,images/model/guan/url_none.png
164, 像计算机科学家一样思考Python 第2版,35.50,人民邮电出版社,2028,http://product.dangdang.com/24003387.html,images/model/guan/url_none.png
165, Python和Pygame游戏开发指南,46.60,陕西科学技术出版社,349,http://product.dangdang.com/23833122.html,images/model/guan/url_none.png
166, Python趣码快乐编程,46.00,电子工业出版社,0,http://product.dangdang.com/27870338.html,images/model/guan/url_none.png
167, Python高效开发实战――Django、Tornado、Flask、Twisted,79.20,机械工业出版社,1424,http://product.dangdang.com/24058511.html,images/model/guan/url_none.png
168, Python金融数据分析,54.50,人民邮电出版社,206,http://product.dangdang.com/25255618.html,images/model/guan/url_none.png
169, Python黑客攻防入门,46.60,机械工业出版社,564,http://product.dangdang.com/25219985.html,images/model/guan/url_none.png
170, Python爬虫开发与项目实战,62.40,机械工业出版社,1653,http://product.dangdang.com/25091587.html,images/model/guan/url_none.png
171, Python文本分析,62.40,机械工业出版社,347,http://product.dangdang.com/25270163.html,images/model/guan/url_none.png
172, Python树莓派编程,38.70,人民邮电出版社,415,http://product.dangdang.com/24102279.html,images/model/guan/url_none.png
173, Python贝叶斯分析,54.50,人民邮电出版社,657,http://product.dangdang.com/25219984.html,images/model/guan/url_none.png
174, Python核心编程 第3版 英文版,68.30,人民邮电出版社,470,http://product.dangdang.com/23928875.html,images/model/guan/url_none.png
175, Python数字信号处理应用,35.50,中国铁道出版社,348,http://product.dangdang.com/25232652.html,images/model/guan/url_none.png
176, Python数据爬取技术与实战手册,53.20,人民邮电出版社,128,http://product.dangdang.com/25343936.html,images/model/guan/url_none.png
177, Python 3程序开发指南（第2版 修订版）,54.50,人民邮电出版社,1247,http://product.dangdang.com/23656113.html,images/model/guan/url_none.png
178, Python数据处理,78.20,人民邮电出版社,1071,http://product.dangdang.com/25107100.html,images/model/guan/url_none.png
179, Python基础教程(第2版・修订版),54.50,电子工业出版社,29114,http://product.dangdang.com/23473514.html,images/model/guan/url_none.png
180, Python程序设计基础教程,33.80,电子工业出版社,4,http://product.dangdang.com/26511975.html,http://img3m5.ddimg.cn/72/32/26511975-1_b_3.jpg
181, 从芯片到云端：Python物联网全栈开发实践,105.90,电子工业出版社,243,http://product.dangdang.com/25182996.html,images/model/guan/url_none.png
182, Python编程：从数据分析到数据科学,53.70,清华大学出版社,48,http://product.dangdang.com/26490435.html,images/model/guan/url_none.png
183, 从Python开始学编程,43.60,人民邮电出版社,434,http://product.dangdang.com/24142439.html,images/model/guan/url_none.png
184, 乐学Python编程-做个游戏很简单,55.10,清华大学出版社,1,http://product.dangdang.com/27862928.html,images/model/guan/url_none.png
